r_shoulder_pan_joint,r_shoulder_lift_joint,r_upper_arm_roll_joint,r_elbow_flex_joint,r_forearm_roll_joint,r_wrist_flex_joint,r_wrist_roll_joint,RWrist = 6x,RWrist = 6y,RElbow = 7x,RElbow = 7y,RShoulder = 8x,RShoulder = 8y
0.1022580622,1.0606110725,-1.3778396781,-1.3751944399,-0.9396447142,-0.3267422296,0.7835295079,0.6574074074,0.5923913043,0.6666666667,0.7934782609,0.4722222222,0.7065217391
-0.8862167331,-0.051607934,-1.1763979507,-0.7517996463,-0.9701249445,-1.7400859155,0.441457265,0.6851851852,0.597826087,0.6851851852,0.8315217391,0.4768518519,0.6847826087
-1.8003255517,0.3427349645,0.3726228673,-0.5906632223,-0.3395157263,-0.519066688,1.4544548407,0.6759259259,0.6086956522,0.6712962963,0.7880434783,0.4814814815,0.6902173913
-0.0276568663,0.7026155434,-2.1546666248,-0.871366527,-2.0720686855,-1.6028526871,0.9909035892,0.6712962963,0.6141304348,0.6759259259,0.8369565217,0.4722222222,0.7173913043
-1.8287523645,0.4555432192,-1.5805429888,-1.2960327446,1.9749333242,-0.7169734906,1.5241257993,0.6805555556,0.6141304348,0.6759259259,0.8423913043,0.4814814815,0.75
-2.1075135386,0.4214878868,-1.8999291335,-0.5474956145,0.4516232378,-0.1286219564,0.1900704843,0.6805555556,0.625,0.6851851852,0.7826086957,0.4722222222,0.722826087
0.0574152023,0.8747859093,0.465509269,-0.5866136662,0.951071067,-1.9776598767,-2.6528446204,0.6759259259,0.6141304348,0.6712962963,0.8423913043,0.4675925926,0.7282608696
-0.3547734837,0.430224853,0.3914724336,-1.6730509281,-0.5125743693,-0.4839755884,-1.5251926659,0.6666666667,0.5923913043,0,0,0.4722222222,0.7336956522
-1.2849184983,0.2744247498,-2.7767559439,-1.3507509016,-2.6320144854,-0.4697613842,-1.3709868647,0.6851851852,0.6141304348,0.6851851852,0.8369565217,0.4722222222,0.7173913043
-0.7808493259,-0.0202342024,-2.9751876693,-0.5755988621,1.6975595828,-0.3495617254,0.1618624219,0.6805555556,0.6086956522,0.6805555556,0.8260869565,0.4768518519,0.7282608696
